,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
0,CIBQIAIDAQMB6IIFAEAQWFQ6EYYACAQBAIBACAIDDIBQCAIEFIZAEAIBAM2QCAQBA4,Noxus,Freljord,Ashe,Sejuani,None,None,7115
1,CIBAIAIEDMSC2NAHAIDAQCY2DQQS2OQBAIBAMFBLAIAQCBA7AIBAMBJR,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,5191
2,CIBQCAQGCYDQCAABBELB2JRHFMBAEAAJBIBQCAQGBABACAAVDIAQEAAHAEBACAALGM,Bilgewater,Demacia,Miss Fortune,Lucian,None,None,3744
3,CIBQGAQGBALDUBYBAAAQSGQ5E4VTGAYCAADASCQAAEAQCABJ,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,3264
4,CIBAGAIDCQTTOCIBAQAQYHBGE4UC2NBWAIAQCAZDAEBAIAQA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,2449
5,CIBAKAIBBMLB4JRQAUAQGBAYDIPSCAYCAEBTGNICAEAQIKQBAIAQEAA,Freljord,Noxus,Ashe,Sejuani,None,None,2325
6,CIBQGAIBAMLCEBIBAUPCQMBRGUBAEBIEAYBQCAQBA4BQCBIHBMMQCAQFAEAA,Freljord,Shadow Isles,Kalista,Elise,None,None,1933
7,CIBQCAIFFABAEBIIBIDAEBQ5E4WC6NJYAMBAEBRFGYBQCBIZDU3ACAQFA4AQCAQGDY,Shadow Isles,Bilgewater,Maokai,Nautilus,None,None,1828
8,CIBAGAIDAQPSCBYBAEBQOCYWEYUTAAYBAEBTKAYBAECB4KQBAIAQEAA,Noxus,Freljord,Ashe,Sejuani,None,None,1534
9,CIBQKAIFCQUCWMJUAUAQABQPDIQSUAQCAAAQSAIBAECQCAQBAECSCAICAACQ,Shadow Isles,Demacia,Thresh,Lux,None,None,1509
10,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAIBAUDQCAQBA4AQGAIFBMMSW,Freljord,Shadow Isles,Kalista,Elise,None,None,1287
11,CICAKAIEDMPSIMJUAEBAIBQDAEBQILRXAQBAGAIHBAEQAAIBAEBRM,Piltover & Zaun,Noxus,Ezreal,Swain,None,None,1279
12,CIBQKAIBAMERIGBSAYAQKAIDDUUCWMIBAIAQOAICAECQ6FAA,Freljord,Shadow Isles,Braum,Anivia,None,None,1244
13,CIBQEAIFDUUACAQFBICQEBQ5E4XTKOADAIBAMJJMAIAQKGJWAIBAKBYIAIBQCBJLFY2ACAQFAM,Shadow Isles,Bilgewater,Nautilus,Maokai,Thresh,None,1114
14,CIBQKAQGBALCMOJ2AYAQGAQPDYSSQLYCAIBQGBAAAEAQEBQR,Bilgewater,Noxus,Miss Fortune,None,None,None,851
15,CIBAIAIEDMSCWNAIAIDAQCY2DQQS2MJ2AIAQCBA7AEBAMFAA,Piltover & Zaun,Bilgewater,Ezreal,Twisted Fate,None,None,841
16,CICAIAICBAHS4OAEAEBSILRWG4AQEAQFAEBAGCICAEAQGKQDAEBAWJJRAEBACAYKCM,Ionia,Noxus,Yasuo,Katarina,None,None,835
17,CIBQGAQGE4XTQAYBAUUC4NQDAICQOCAKAIAQCBJPAMBAMBJFGUBACAQGDYCACBIBB4MTI,Bilgewater,Shadow Isles,Maokai,Nautilus,Thresh,None,811
18,CICAGAIDAQKC4AICAMEQQAIEAENR6JBHGE2DUAICAQDAAAIBAEBTO,Noxus,Piltover & Zaun,Draven,Ezreal,None,None,740
